country,date,name,price,weight
nic,1/20/2022,avena quaker corazon ,34,0.3
nic,1/20/2022,avena quaker mosh hojuelas ,33,0.3
nic,1/20/2022,pasta roma plumas ,21,0.2
nic,1/20/2022,azucar monte rosa sulfitada ,297,10.0
nic,1/20/2022,mostazaeat value,38,0.4
nic,1/20/2022,salsa kern's tomte ketchup doy pack ,35,0.4
nic,1/20/2022,avena sasa en hojuela ,22,0.3
nic,1/20/2022,aceituna rellenas c/ piemiento manz g,50,0.2
nic,1/20/2022,cebada sasa bolsa ,30,0.4
nic,1/20/2022,tajadas laanja de platano ,67,0.3
nic,1/20/2022,avena quaker integral ,33,0.3
nic,1/20/2022,avena quaker nutremas mosh ,77,0.9
nic,1/20/2022,azucar san antonio regular ,60,20.0
nic,1/20/2022,boquitas diana churritos sabr queso,26,0.1
nic,1/20/2022,galleta pozuelo crema rellena vainilla ,46,0.38
nic,1/20/2022,vegetales mixtos herdez lata,32,0.22
nic,1/20/2022, pack galleta marinela principe limon ,67,0.34
nic,1/20/2022,frijol ducal rojo doy pack ,44,0.4
nic,1/20/2022,galleta sanissimo chia linaza g,58,0.14
nic,1/20/2022,pasta anita spaghetti ,13,0.2
nic,1/20/2022,avena quaker molida ,30,0.28
nic,1/20/2022,galleta pozuelo soda  unidades ,28,0.18
nic,1/20/2022,tortilla milpa real ,38,0.18
nic,1/20/2022,tortilla diana de maiz jalapeños ,26,0.16
nic,1/20/2022,lentejas goya ,109,0.4
nic,1/20/2022,aceite ideal soya ,147,1.5
nic,1/20/2022,pasta roma tornillos ,21,0.2
nic,1/20/2022,elote la costeña dorado ,40,0.13
nic,1/20/2022,salsa lizano de vegetales criolla ,54,0.28
nic,1/20/2022,azucar sulfitadaanel  ,14,49.9
nic,1/20/2022,galleta nabisco ritz  .gr,57,0.01
nic,1/20/2022,petit pois herdez en lata ,46,0.21
nic,1/20/2022,arroz sabemas   saco de ,403,10.0
nic,1/20/2022,aceiteeat value soya ,317,3.5
nic,1/20/2022,galleta pozuelo salada club extra ,31,0.22
nic,1/20/2022,vinagre sabemas oscuro botella ,21,0.7
nic,1/20/2022,aceite clover de soya ,200,2.0
nic,1/20/2022,pasta sabemas tornillo twists ,15,0.25
nic,1/20/2022,nestle cheerios® + nesquik® + trix®. cereal  pack g,135,0.53
nic,1/20/2022,champiñones sabemas rebanados ,39,0.18
nic,1/20/2022,boquitas yummies ranchitas natural ,43,0.3
nic,1/20/2022,azucar san antonio regular,299,10.0
nic,1/20/2022,arroz carolinaano entero / ,16,0.4
nic,1/20/2022,arroz / carolina ,191,4.0
nic,1/20/2022,te manzanilla manzate caja  unidades ,165,0.12
nic,1/20/2022,salsa inglesa lea and perrins,104,0.3
nic,1/20/2022,mermelada callejas de guayaba ,47,0.28
nic,1/20/2022,empanizadoranulado kellogg's® corn flakes sabor original  hojuelas de maízanuladas que absorben menosasa que el pan molido   caja de g,49,0.16
nic,1/20/2022,hongos herdez trocitos ,60,0.19
nic,1/20/2022,aceite canolaeat value spray ,82,0.23
nic,1/20/2022,salsaeat value tomate ketchup ,111,1.08
nic,1/20/2022,galleta pozuelo soda salada caja ,66,0.44
nic,1/20/2022, pack papas pringles muelitas original ,190,0.23
nic,1/20/2022,cafe casa del cafe molido house blend ,183,0.45
nic,1/20/2022,harina maseca de maiz  .gr,42,0.02
nic,1/20/2022,arroz sabemas   saco ,476,10.0
nic,1/20/2022,galleta del carmen avena chocolate ,68,0.26
nic,1/20/2022,aceite rico vegetal ,381,5.0
nic,1/20/2022,sandwich hellmanns spreed doy pack ,43,0.2
nic,1/20/2022,te menta manzate caja  unidades  .gr,88,0.0
nic,1/20/2022,salsa ketchup gourmet doy pack ,50,0.8
nic,1/20/2022,manieat value sin sal ,93,0.45
nic,1/20/2022,te verdeeat value ,40,0.02
nic,1/20/2022,achiote molido sol maya ,74,0.2
nic,1/20/2022,boquita yummies zambos chile limon ,43,0.14
nic,1/20/2022,galleta del carmen avena pasas ,68,0.26
nic,1/20/2022,sal sol dorada en bote ,29,0.5
nic,1/20/2022,sabemas arroz bolsa /  ,163,4.0
nic,1/20/2022,nestle corn flakes sin gluten cereal bolsa g,173,0.8
nic,1/20/2022,arroz / faisan ,84,2.0
nic,1/20/2022,pasas bolsa sol maya ,28,0.07
nic,1/20/2022,crema dulce dos pinos  ,47,0.25
nic,1/20/2022,aderezoeat value italian fat fr ,71,0.47
nic,1/20/2022,chicharros la costena en lata,29,0.12
nic,1/20/2022,aceitegreat value oliva light ,99,0.5
nic,1/20/2022,salsa lizano criolla botella ,115,0.7
nic,1/20/2022,coffee mate original sin lactosa sustituto de crema en polvo tarro g,66,0.31
nic,1/20/2022,pasta anita caracolito ,12,0.17
nic,1/20/2022,galleta ritz queso ,81,0.41
nic,1/20/2022,boquita yummies platanos y chicharron ,43,0.15
nic,1/20/2022,mani pro salado bolsa ,19,0.08
nic,1/20/2022,crema tomate maggi ,17,0.08
nic,1/20/2022,salsa lizano picante chilera ,44,0.16
nic,1/20/2022,especie sabemas pimienta y comino en polvo  ,8,0.02
nic,1/20/2022,pasas sabemas bolsa ,31,0.12
nic,1/20/2022,galleta pozuelo tosh coco almendra  .gr,93,0.0
nic,1/20/2022,cerealeat value crispy rice,150,0.55
nic,1/20/2022,ajoeat value picado en aceite ,69,0.23
nic,1/20/2022,ajo sabemas en polvo frasco ,42,0.08
nic,1/20/2022,te jengibre limon miel manzate caja  unidades ,83,0.03
nic,1/20/2022,harina maiz el comal ,181,4.55
nic,1/20/2022,galleta tosh pozuelo limon te verde  .gr,90,0.0
nic,1/20/2022,maiz dulce herdez lata,40,0.22
nic,1/20/2022,salsa tomate sabemas con hongos ,11,0.11
nic,1/20/2022,sardina sardimar dulce g,33,0.16
nic,1/20/2022,chop suey el chinito bolsa ,16,0.11
nic,1/20/2022,frijol blanditos rojo refrito ,26,0.23
nic,1/20/2022,ketchup issima salsa de tomate ,34,0.4
nic,1/20/2022,pasas bolsa sol maya  ,46,0.15
nic,1/20/2022, pack atun suli trocitos en aceite ,112,0.4
nic,1/20/2022,galleta suli soda  unidades ,23,0.19
nic,1/20/2022,harina napoli de trigo para pizza ,14,0.45
nic,1/20/2022,pasta sabemas caracolito,13,0.2
nic,1/20/2022,salsa lizano picante ,27,0.06
nic,1/20/2022,sopa pollo con fideos libre de gluten maggi ,14,0.06
nic,1/20/2022,consome gallina maggi sabor y color x,13,0.01
nic,1/20/2022,galleta oreo cookies nabisco cream ,78,0.43
nic,1/20/2022,vinagre gourmet blanco ,78,3.78
nic,1/20/2022,cerealeat value aros miel ,137,0.61
nic,1/20/2022,consome pollo maggi sabor y color tira x,42,0.01
nic,1/20/2022,oregano badia entero ,52,0.01
nic,1/20/2022,boquitas yummies nacho con queso ,29,0.15
nic,1/20/2022,salsa china mccormick ,91,0.3
nic,1/20/2022,gourmet mayonesa reducia en lpidos,87,0.88
nic,1/20/2022,mani pro garapinado ,21,0.08
nic,1/20/2022,galleta sabemas dulce mantequilla ,53,0.31
nic,1/20/2022,vinagre goya blanco destilado ,137,0.95
nic,1/20/2022,mojo badia marinado,158,0.59
nic,1/20/2022,snack taquerito yummies chile toreado ,35,0.18
nic,1/20/2022,barra de cereal tosh lyne pina g u,119,0.17
nic,1/20/2022,churro diana centavito bolsa ,28,0.11
nic,1/20/2022,sopa maruchan instantanea ramen pollo ,13,0.08
nic,1/20/2022,pasta roma corta cabellos ,37,0.25
nic,1/20/2022,granola naturalez fibra especial ,51,0.28
nic,1/20/2022,mezcla krusteaz pancake muttermilk ,110,0.91
nic,1/20/2022,miel de abeja miss amalie botella ,110,0.34
nic,1/20/2022,aceite ambar de soya ,181,1.89
nic,1/20/2022,sopa nissin instantanea pollo vaso ,20,0.06
nic,1/20/2022,semillas mixtaseat value ,335,0.76
nic,1/20/2022,consome res maggi x,13,0.01
nic,1/20/2022,chocolate gallito tapita  unidades  ,35,0.1
nic,1/20/2022,consome pollo maggi tira x,42,0.01
nic,1/20/2022,ajo en trozos maggi de la huerta frasco g,63,0.08
nic,1/20/2022,boquitas diana quesitos maiz queso,27,0.13
nic,1/20/2022,great value salsa marinara ,79,0.68
nic,1/20/2022,especias sasson pimienta negra ,50,0.06
nic,1/20/2022,consome gallina maggi mi sazon ,13,0.04
nic,1/20/2022,snack yummies taquerito queso fusio ,35,0.18
nic,1/20/2022,boquitas de yucas tostadas hores,67,0.22
nic,1/20/2022,galleta suli salada  unidades ,25,0.19
nic,1/20/2022,maizgreat valuegrano entero ,42,0.43
nic,1/20/2022,papitas yummies estilo clasico,39,0.08
nic,1/20/2022,gelatina royal fresa ,27,0.08
